,공시고유번호,상장코드,최종수정일,회사명
0,00402208, ,20170630,에스비아이코리아
0,00175021, ,20170630,씨티은행
0,00429250, ,20170630,AllianzFinanceB.V.
0,00425777, ,20170630,동의보감유동화전문유한회사
0,00109125, ,20170630,세화기술투자
0,00388810, ,20170630,미래에셋프리미어혼합형펀드
0,00383426, ,20170630,마이다스차익거래안정혼합형펀드
0,00146676, ,20170630,아이씨켐
0,00338152, ,20170630,소프트윈
0,00438902, ,20170630,신하나로유동화전문유한회사
0,00432856, ,20170630,벽산건설블루밍제일차유동화전문유한회사
0,00431033, ,20170630,이천일아울렛제일차유동화전문유한회사
0,00240866, ,20170630,씨마유통
0,00440934, ,20170630,캠앤아이코리아
0,00440952, ,20170630,제이경영컨설팅
0,00435905, ,20170630,이리연료
0,00435598, ,20170630,태거산업
0,00350136, ,20170630,마인드텔
0,00350206, ,20170630,엘파오벤쳐캐피탈
0,00268288, ,20170630,심스밸리
0,00105846, ,20170630,LGEI
0,00350756, ,20170630,유리크레디트회사채혼합형펀드
0,00149497, ,20170630,알파캐피탈
0,00264778, ,20170630,유니씨앤티
0,00289227, ,20170630,미래에셋파이오니어벤처코스닥펀드
0,00449184, ,20170630,디에이치파트너스
0,00369028, ,20170630,근하종합개발호텔엑스포
0,00152491, ,20170630,코락
0,00445601, ,20170630,터보엔지니어링
0,00407610, ,20170630,알파엔지니어링
0,00146241, ,20170630,명성건설
0,00446071, ,20170630,스카이함백
0,00368384, ,20170630,비에스그룹
0,00446840, ,20170630,삼부이엔씨
0,00245791, ,20170630,두앙종합건설
0,00449625, ,20170630,신성전자
0,00375223, ,20170630,한국기업금융자문
0,00411631, ,20170630,고룡
0,00256326, ,20170630,아성식품
0,00367330, ,20170630,세원지애에이치
0,00371838, ,20170630,남양주택건설
0,00246480, ,20170630,이조해운
0,00359304, ,20170630,한서화학
0,00415600, ,20170630,대륭전자
0,00422910, ,20170630,서울에프엔텍파트너스
0,00451055, ,20170630,팔공산온천관광호텔
0,00448839, ,20170630,택산개발
0,00234670, ,20170630,동진피엠씨
0,00224707, ,20170630,대흥정공
0,00193568, ,20170630,신대광주택
0,00415080, ,20170630,아프로시스템스
0,00415053, ,20170630,화진코스메틱
0,00414869, ,20170630,모비야
0,00365527, ,20170630,우리켐테크
0,00364245, ,20170630,ABC
0,00364005, ,20170630,캐피탈아거스
0,00413329, ,20170630,유니솔
0,00369532, ,20170630,애로우일렉트로닉스
0,00215222, ,20170630,세화유통
0,00252481, ,20170630,용강
0,00369897, ,20170630,기바전자
0,00310855, ,20170630,에프에스비티아이코리아
0,00370015, ,20170630,디지텍
0,00303448, ,20170630,알에이코프
0,00404394, ,20170630,매경휴스닥
0,00201946, ,20170630,한국이연
0,00304207, ,20170630,한원텔레콤
0,00305093, ,20170630,진우
0,00410720, ,20170630,탑종합건설
0,00354354, ,20170630,썬키스
0,00311049, ,20170630,위슬런
0,00412782, ,20170630,대산반도체
0,00426615, ,20170630,네오소프트
0,00164061, ,20170630,드림에스디
0,00381659, ,20170630,크레디피아제십구차유동화전문
0,00382959, ,20170630,콩코드캐피탈아시아
0,00118886, ,20170630,에이브이씨닷컴
0,00374835, ,20170630,케이씨알파트너스
0,00115700, ,20170630,동성투자
0,00389192, ,20170630,오엔씨네트웍스
0,00346452, ,20170630,씨에스지
0,00420356, ,20170630,하이페리온제이차유동화전문유한회사
0,00425528, ,20170630,부산유조선
0,00427784, ,20170630,목동우림루미아트유동화전문유한회사
0,00244297, ,20170630,천보파이낸스
0,00428817, ,20170630,나라펫
0,00425740, ,20170630,하이케어시스템즈
0,00389086, ,20170630,우리금융제일차유동화전문유한회사
0,00425759, ,20170630,키치녹스
0,00426721, ,20170630,에이치에스제일차유동화전문유한회사
0,00426651, ,20170630,신드림풀유동화전문유한회사
0,00427951, ,20170630,넥센캐피탈
0,00448112, ,20170630,종연산업
0,00446655, ,20170630,성환
0,00357111, ,20170630,삼두디엔에스
0,00360717, ,20170630,녹십자피디
0,00411321, ,20170630,율비
0,00193221, ,20170630,삼희산업
0,00407595, ,20170630,아이스타뮤직
0,00147417, ,20170630,전일제지
0,00367075, ,20170630,신흥울테크
0,00448501, ,20170630,삼양이컴
0,00197856, ,20170630,전주코아호텔
0,00378017, ,20170630,헬리오스기업구조조정전문회사
0,00207384, ,20170630,동일상사
0,00233927, ,20170630,헨켈코리아
0,00255372, ,20170630,센텍
0,00246693, ,20170630,태흥기업
0,00367932, ,20170630,만적
0,00334341, ,20170630,성신무역
0,00190224, ,20170630,새한철강
0,00448291, ,20170630,한림종합개발
0,00445391, ,20170630,동방귀석
0,00169321, ,20170630,부곡관광
0,00434076, ,20170630,에이취.엠.에스
0,00205128, ,20170630,서통테크놀로지
0,00450250, ,20170630,한경섬유
0,00368126, ,20170630,세진티앤엠
0,00175386, ,20170630,경기교통
0,00205748, ,20170630,강호개발
0,00358378, ,20170630,만덕
0,00221409, ,20170630,한국어센셜소프트웨어
0,00414328, ,20170630,와우북
0,00188061, ,20170630,한서시계
0,00409982, ,20170630,부풍
0,00134149, ,20170630,세우무역
0,00414461, ,20170630,신우종합건설
0,00304508, ,20170630,중원
0,00247753, ,20170630,아스트로
0,00368816, ,20170630,한국멀티넷
0,00366085, ,20170630,넥스트미디어아이
0,00412302, ,20170630,일성리조트
0,00387246, ,20170630,동광산건
0,00265050, ,20170630,유렉셀테크놀러지
0,00236182, ,20170630,성일컴퓨텍
0,00296555, ,20170630,엠에프씨
0,00327226, ,20170630,얼라이언스시스템
0,00412852, ,20170630,대한주택이앤지
0,00143970, ,20170630,원창판지
0,00301404, ,20170630,한국피시
0,00109541, ,20170630,대륙공업
0,00404880, ,20170630,디지털테크놀러지
0,00393858, ,20170630,드림데이타
0,00385123, ,20170630,리첸시아유동화전문유한회사
0,00429010, ,20170630,코리아페이넷
0,00424963, ,20170630,디더블유씨유동화전문유한회사
0,00425768, ,20170630,티지일차유동화전문유한회사
0,00426749, ,20170630,피앤지정보통신
0,00330415, ,20170630,인바인
0,00150794, ,20170630,진흥주택
0,00429038, ,20170630,굿앤세이프
0,00429117, ,20170630,"ChugokuMarinePaints,Ltd."
0,00421081, ,20170630,디바이너
0,00361734, ,20170630,케이아이티창업투자
0,00388768, ,20170630,외환카드제사차유동화전문유한회사
0,00425421, ,20170630,오프마이십일
0,00421850, ,20170630,창신테크
0,00425315, ,20170630,파워엑시스
0,00427580, ,20170630,삼성프론티어제십이차유동화전문유한회사
0,00425218, ,20170630,쓰리엔제이차유동화전문유한회사
0,00106951, ,20170630,낙산관광호텔
0,00395661, ,20170630,현지개발
0,00275118, ,20170630,케이티비벤처벌처일호펀드
0,00295389, ,20170630,메타텍
0,00389147, ,20170630,골든보우창업투자
0,00126803, ,20170630,삼아
0,00242341, ,20170630,에스엠아이씨
0,00440314, ,20170630,오토피아제팔차유동화전문유한회사
0,00440332, ,20170630,니즈솔루션
0,00441322, ,20170630,이나라카드
0,00440165, ,20170630,히타치전선
0,00288884, ,20170630,미래에셋드림파이오니어펀드
0,00148452, ,20170630,GPS
0,00156017, ,20170630,하나은행
0,00261045, ,20170630,시스컴
0,00437532, ,20170630,개풍주택개발
