Symbol,Item Name ,2014-12-31,2015-12-31,2016-12-31,2017-12-31,2018-12-31,2019-12-31,2020-01-28
A019180,수정주가(원),"1,400","1,835","2,230","1,710","2,385","3,660","4,055"
A019180,상장주식수 (보통+우선)(주),"18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000","18,000,000"
A124560,매출액(원),"228,935,653,000","180,271,146,000","185,282,177,000","230,546,793,650","229,275,408,730",,
A124560,영업이익(원),"7,899,401,000","8,044,052,000","8,026,227,000","6,815,255,000","11,688,333,080",,
A124560,지배주주순이익(원),"1,669,752,000","5,551,918,000","4,746,218,000","177,701,780","7,360,075,330",,
A124560,총자본(원),"12,885,111,000","14,955,814,000","19,851,615,000","15,531,540,740","21,482,028,340",,
A124560,총부채(원),"47,744,558,000","28,730,645,000","28,184,368,000","43,027,095,410","44,818,151,570",,
A124560,자본금(원),"1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000","1,500,000,000",,
A124560,이익잉여금(원),"8,668,802,000","14,220,720,000","18,915,938,000","15,494,863,270","21,535,086,880",,
A124560,영업활동으로인한현금흐름(원),"-179,505,000","15,826,843,000","2,710,081,000","2,532,483,430","13,968,517,140",,
A124560,투자활동으로인한현금흐름(원),"901,139,000","5,033,815,000","-1,686,398,000","-2,723,133,020","-3,526,395,380",,
A124560,"수정DPS(보통주,현금)(원)",,,,,,,
A124560,수정주가(원),,,,,,"5,110","4,135"
A124560,상장주식수 (보통+우선)(주),,,,,,"17,650,000","17,650,000"
A050320,매출액(원),"15,473,391,740","15,651,204,540","12,413,780,310","11,981,109,240","6,579,543,720",,
A050320,영업이익(원),"-762,213,780","-3,401,165,740","-8,314,855,600","-1,569,064,970","-3,263,200,700",,
A050320,지배주주순이익(원),"-839,417,240","-1,459,812,190","-19,973,008,460","-5,414,954,230","-2,451,702,910",,
A050320,총자본(원),"5,536,680,520","4,316,495,180","3,316,084,050","2,092,418,430","6,101,972,290",,
A050320,총부채(원),"10,603,603,330","7,541,959,410","3,677,264,030","4,764,115,430","3,486,713,980",,
A050320,자본금(원),"3,714,750,000","3,714,750,000","5,048,570,500","1,262,713,000","2,313,795,100",,
A050320,이익잉여금(원),"-5,199,501,850","-6,618,526,580","-20,005,701,240","-25,354,073,490","-27,734,199,980",,
A050320,영업활동으로인한현금흐름(원),"66,344,840","-2,265,925,610","-9,665,626,520","-1,763,376,130","-4,774,408,760",,
A050320,투자활동으로인한현금흐름(원),"-127,555,120","6,852,222,870","-9,906,452,120","-539,232,020","-3,714,878,880",,
A050320,"수정DPS(보통주,현금)(원)",,,,,,,
A050320,수정주가(원),"1,110","6,300","3,570","3,220","3,220","3,220","3,220"
A050320,상장주식수 (보통+우선)(주),"7,429,500","7,429,500","50,485,705","11,198,560","22,661,761","22,661,761","22,661,761"
A006140,매출액(원),"104,702,472,750","104,793,713,820","105,959,817,690","98,557,232,910","101,168,945,450",,
A006140,영업이익(원),"7,367,314,120","6,994,619,290","7,071,925,710","7,448,131,750","6,108,069,590",,
A006140,지배주주순이익(원),"6,640,352,330","6,317,757,320","7,720,303,590","5,910,914,330","7,087,925,920",,
A006140,총자본(원),"87,246,706,420","91,503,159,100","97,044,679,620","100,533,337,880","104,923,904,690",,
A006140,총부채(원),"11,850,422,080","17,909,986,370","17,885,545,590","18,967,638,460","23,447,894,820",,
A006140,자본금(원),"5,000,000,000","5,000,000,000","5,000,000,000","5,000,000,000","7,500,000,000",,
A006140,이익잉여금(원),"77,082,016,240","81,399,773,560","86,920,077,150","90,410,991,480","94,798,917,400",,
A006140,영업활동으로인한현금흐름(원),"12,075,145,190","10,875,870,040","3,183,457,330","4,581,204,640","11,749,352,320",,
A006140,투자활동으로인한현금흐름(원),"-5,857,240,710","-11,698,206,930","1,176,673,710","-4,939,400,100","-11,721,004,860",,
A006140,"수정DPS(보통주,현금)(원)",133.33,146.67,161.33,180.00,185.00,,
A006140,수정주가(원),"4,627","4,747","5,020","5,180","4,475","5,150","4,850"
A006140,상장주식수 (보통+우선)(주),"10,000,000","10,000,000","10,000,000","10,000,000","15,000,000","15,000,000","15,000,000"
A021040,매출액(원),"222,066,123,510","200,872,222,170","185,678,388,360","205,306,466,860","209,863,691,250",,
A021040,영업이익(원),"10,543,096,310","8,728,185,320","11,905,855,930","10,239,635,290","6,007,433,520",,
A021040,지배주주순이익(원),"-1,609,747,150","2,496,801,340","5,604,812,270","4,014,068,100","2,127,650,990",,
A021040,총자본(원),"34,244,917,720","36,036,595,140","40,959,342,020","69,049,050,960","72,429,470,760",,
A021040,총부채(원),"134,922,922,900","118,191,275,140","100,226,866,070","82,024,965,780","84,853,335,060",,
A021040,자본금(원),"27,177,646,000","27,177,646,000","27,177,646,000","38,677,646,000","38,677,646,000",,
A021040,이익잉여금(원),"-16,504,772,690","-14,944,020,050","-10,097,737,870","-4,071,092,230","-2,600,442,990",,
A021040,영업활동으로인한현금흐름(원),"22,876,811,250","23,293,675,770","15,452,846,420","9,789,726,900","-1,923,826,980",,
A021040,투자활동으로인한현금흐름(원),"-3,592,455,730","-3,750,740,710","-1,403,056,610","-3,336,908,550","-7,760,064,000",,
A021040,"수정DPS(보통주,현금)(원)",,,,,,,
A021040,수정주가(원),741,"1,204","1,195",973,980,994,995
A021040,상장주식수 (보통+우선)(주),"54,355,292","54,355,292","54,355,292","77,355,292","77,355,292","77,355,292","77,355,292"
A003480,매출액(원),"15,091,000,000","15,233,000,000","11,484,000,000","10,984,000,000","4,192,000,000",,
A003480,영업이익(원),"23,013,000,000","8,992,000,000","16,795,000,000","24,327,000,000","32,353,000,000",,
